Date,Beg Stock,Production,Imports,Demand,Exports,End Stock
1/1/1999,,129374000,690709,,150135,60757000
2/1/1999,60757000,120311000,1003324,86904774,195550,94971000
3/1/1999,94971000,126230000,1866433,114351076,275357,108441000
4/1/1999,108441000,114342000,896620,96764535,1395085,125520000
5/1/1999,125520000,110377000,816372,99869628,268744,136575000
6/1/1999,136575000,94691000,1170655,111720865,109790,120606000
7/1/1999,120606000,84458000,3578544,85011618,78926,123552000
8/1/1999,123552000,78188000,3069496,113489996,591500,90728000
9/1/1999,90728000,91581000,837096,111225778,447318,71473000
10/1/1999,71473000,103762000,596130,111514961,90169,64226000
11/1/1999,64226000,104488000,381180,138523607,387573,30184000
12/1/1999,30184000,119288000,700409,124668444,421965,25082000
1/1/2000,25082000,138961000,236115,81610228,222887,82446000
2/1/2000,82446000,127178000,374124,101786038,365086,107847000
3/1/2000,107847000,119620000,1044771,114072207,402564,114037000
4/1/2000,114037000,110421000,754863,97686917,660946,126865000
5/1/2000,126865000,107218000,2157224,97969448,83776,138187000
6/1/2000,138187000,86823000,3421355,82393146,252209,145786000
7/1/2000,145786000,82595000,2117761,93280853,289908,136928000
8/1/2000,136928000,80734000,2500924,118757321,77603,101328000
9/1/2000,101328000,87264000,1130090,104604545,126545,84991000
10/1/2000,84991000,101654000,1003765,129206581,116184,58326000
11/1/2000,58326000,100629000,806231,131926548,554683,27280000
12/1/2000,27280000,112935000,460325,116276370,283955,24115000
1/1/2001,24115000,127091000,1200858,83541092,460766,68405000
2/1/2001,68405000,111541000,948649,94580534,236115,86078000
3/1/2001,86078000,111124000,2524073,102924809,593264,96208000
4/1/2001,96208000,108712000,3378584,95804435,176149,112318000
5/1/2001,112318000,110704000,3518578,88232859,285719,138022000
6/1/2001,138022000,86497000,9970628,80778756,224872,153486000
7/1/2001,153486000,82083000,9009413,93259422,195991,151123000
8/1/2001,151123000,75291000,9606424,117550341,421083,118049000
9/1/2001,118049000,86498000,1584904,94991169,283735,110857000
10/1/2001,110857000,109657000,1508844,121071568,160276,100791000
11/1/2001,100791000,99857000,1274713,143811383,195330,57916000
12/1/2001,57916000,122783000,941594,125227349,498245,55915000
1/1/2002,55915000,140069000,1888480,98482662,189818,99200000
2/1/2002,99200000,124231000,1417352,94515354,208998,130124000
3/1/2002,130124000,127695000,873912,113304072,228840,145160000
4/1/2002,145160000,131605000,1929927,81713637,367290,196614000
5/1/2002,196614000,125484000,2148625,96965960,431665,226849000
6/1/2002,226849000,95818000,719810,80221802,166008,242999000
7/1/2002,242999000,94409000,1000237,92949079,161158,245298000
8/1/2002,245298000,88883000,770075,105291800,188275,229471000
9/1/2002,229471000,92818000,1093934,113951043,319891,209112000
10/1/2002,209112000,102613000,1188072,148165486,107586,164640000
11/1/2002,164640000,103932000,1305578,134068547,177031,135632000
12/1/2002,135632000,127590000,3208168,108173653,436515,157820000
1/1/2003,157820000,141912000,348772,95088748,164024,204828000
2/1/2003,204828000,128086000,1027795,93747313,315482,239879000
3/1/2003,239879000,126400000,935642,121766995,489647,244958000
4/1/2003,244958000,122844000,1588210,104740732,914478,263735000
5/1/2003,263735000,114895000,1860040,82184253,346787,297959000
6/1/2003,297959000,84171000,1221581,81781737,144844,301425000
7/1/2003,301425000,80050000,1239219,97838729,996490,283879000
8/1/2003,283879000,70916000,1124578,101596518,410060,253913000
9/1/2003,253913000,73267000,1520749,120914407,611342,207175000
10/1/2003,207175000,96784000,1414046,134390990,828056,170154000
11/1/2003,170154000,88436000,1790375,136775510,1060865,122544000
12/1/2003,122544000,114599000,2252243,138401929,1380314,99613000
1/1/2004,99613000,129346000,655655,76425681,740974,152448000
2/1/2004,152448000,108593000,1559991,103004118,530873,159066000
3/1/2004,159066000,100383000,3292384,103272391,1350993,158118000
4/1/2004,158118000,100324000,5690794,107672497,742297,155718000
5/1/2004,155718000,110120000,10483203,96278680,1298523,178744000
6/1/2004,178744000,99156000,5182186,92514683,1384503,189183000
7/1/2004,189183000,92615000,2675972,89632962,1321010,193520000
8/1/2004,193520000,90329000,2250699,123310560,1764139,161025000
9/1/2004,161025000,94242000,1616870,122553537,1322333,133008000
10/1/2004,133008000,104386000,1482389,131072482,651907,107152000
11/1/2004,107152000,98376000,1240542,148903038,688504,57177000
12/1/2004,57177000,118808000,1018536,130274986,1740550,44988000
1/1/2005,44988000,128032000,2769007,97739526,830481,77219000
2/1/2005,77219000,116938000,1494735,83937096,838639,110876000
3/1/2005,110876000,122413000,2276053,101966996,1162057,132436000
4/1/2005,132436000,117072000,2522971,86385331,1144640,164501000
5/1/2005,164501000,120726000,2653484,108616989,1218495,178045000
6/1/2005,178045000,106570000,1145081,105124189,987892,179648000
7/1/2005,179648000,95940000,1802279,100033130,691149,176666000
8/1/2005,176666000,93205000,1206149,121670480,528669,148878000
9/1/2005,148878000,100658000,989876,126114782,350094,124061000
10/1/2005,124061000,108926000,1352977,135539694,688283,98112000
11/1/2005,98112000,110917000,1433666,149270748,761918,60430000
12/1/2005,60430000,125964000,2093290,129321085,517205,58649000
1/1/2006,58649000,149830000,1891346,84789876,233470,125347000
2/1/2006,125347000,136872000,1018976,93953164,148812,169136000
3/1/2006,169136000,141711000,1400817,115725116,1192701,195330000
4/1/2006,195330000,127666000,1228857,95774489,719368,227731000
5/1/2006,227731000,128546000,1697339,95249992,1195347,261529000
