"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2019","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","211,168,000",""
"SURVEY","2019","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","243,511,000",""
"SURVEY","2019","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","269,697,000",""
"SURVEY","2019","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","290,836,000",""
"SURVEY","2019","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","313,830,000",""
"SURVEY","2019","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","326,297,000",""
"SURVEY","2019","END OF JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","329,763,000",""
"SURVEY","2018","END OF JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","226,694,000",""
"SURVEY","2018","END OF FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","265,756,000",""
"SURVEY","2018","END OF MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","273,955,000",""
"SURVEY","2018","END OF APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","307,325,000",""
"SURVEY","2018","END OF MAY","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","338,492,000",""
"SURVEY","2018","END OF JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","BUTTER","BUTTER, COLD STORAGE - STOCKS, MEASURED IN LB","TOTAL","NOT SPECIFIED","336,625,000",""
