"Data generated on Tuesday, September 24, 2019 at 12:10:16 PM EST"
Area/Partners of Destination,,,,,January 1999 - December 2019
And Commodities Exported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","0407210000","CHICKN EGG FRESH","2012-2012","DOZ","6,304,638.0","5,284,803.0","5,998,135.0","6,394,083.0","8,167,619.0","8,226,616.0","7,970,158.0","7,626,480.0","15,784,091.0","14,144,242.0","8,663,090.0","13,070,102.0","107,634,057.0","-3","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2013-2013","DOZ","7,487,432.0","7,941,867.0","9,731,365.0","14,628,970.0","20,142,355.0","13,771,708.0","13,566,421.0","16,889,833.0","15,166,008.0","14,999,340.0","13,898,677.0","14,217,449.0","162,441,425.0","-1","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2014-2014","DOZ","7,215,163.0","9,477,328.0","9,246,810.0","10,640,930.0","15,146,460.0","11,930,067.0","16,539,550.0","14,824,078.0","13,144,369.0","17,019,934.0","13,228,147.0","15,673,578.0","154,086,414.0","39","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2015-2015","DOZ","12,078,246.0","12,621,094.0","15,684,730.0","16,125,548.0","10,542,062.0","9,535,140.0","9,581,915.0","12,539,538.0","9,127,993.0","9,710,444.0","8,315,008.0","7,681,397.0","133,543,115.0","0","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2016-2016","DOZ","6,141,753.0","6,342,764.0","9,367,823.0","6,715,428.0","5,501,072.0","4,607,301.0","5,541,625.0","6,097,800.0","7,691,428.0","6,091,547.0","5,621,325.0","6,615,434.0","76,335,300.0","20","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2017-2017","DOZ","3,678,075.0","5,033,015.0","5,066,006.0","5,612,156.0","5,915,835.0","4,569,671.0","7,744,129.0","8,912,618.0","10,749,255.0","10,470,402.0","7,869,298.0","10,419,247.0","86,039,707.0","69","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2018-2018","DOZ","7,860,963.0","6,168,759.0","6,763,450.0","9,049,415.0","9,638,145.0","7,805,940.0","7,724,207.0","10,119,709.0","10,634,355.0","13,685,044.0","9,151,205.0","10,476,000.0","109,077,192.0","-1","US","R00","0407210000",
"1","World Total","1","0407210000","CHICKN EGG FRESH","2019-2019","DOZ","6,974,763.0","5,030,159.0","11,481,999.0","11,596,570.0","12,077,993.0","10,444,705.0","9,843,619.0","","","","","","67,449,808.0","-6","US","R00","0407210000",
"1","World Total","2","0401205000","MLK&CRM,<6% OTH","2016-2016","LITER","0.0","0.0","0.0","0.0","0.0","0.0","6,457,460.0","7,808,228.0","7,916,871.0","5,409,022.0","5,517,538.0","5,326,214.0","38,435,333.0","","US","R00","0401205000",
"1","World Total","2","0401205000","MLK&CRM,<6% OTH","2017-2017","LITER","5,234,279.0","4,347,206.0","5,634,097.0","4,778,494.0","5,620,408.0","5,566,135.0","5,964,504.0","6,210,375.0","5,228,995.0","4,955,015.0","4,473,020.0","4,825,052.0","62,837,580.0","7","US","R00","0401205000",
