"Data generated on Tuesday, September 24, 2019 at 12:13:03 PM EST"
Area/Partners of Origin,,,,,January 1999 - December 2019
And Consumption Commodities Imported,,,,,Quantities
,,,,,,,January,February,March,April,May,June,July,August,September,October,November,December,Total,,
,Partner,,HS Code,Product,Year,UOM,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Qty,Period/Period %  Change (Qty),Reporter Code,Partner Code,Product Code,
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2012-2012","LITER","0.0","0.0","1,440.0","31,796.0","309,603.0","192,805.0","99,448.0","143,964.0","214,220.0","368,417.0","254,307.0","257,659.0","1,873,659.0","-48","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2013-2013","LITER","353,941.0","251,758.0","257,720.0","300,222.0","343,512.0","334,108.0","311,497.0","299,290.0","199,068.0","395,193.0","155,177.0","21,718.0","3,223,204.0","-7","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2014-2014","LITER","318,608.0","223,251.0","186,723.0","205,532.0","317,250.0","540,671.0","466,801.0","271,824.0","226,026.0","193,310.0","308,541.0","299,285.0","3,557,822.0","-14","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2015-2015","LITER","216,421.0","436,016.0","145,025.0","268,950.0","141,354.0","138,640.0","562,851.0","156,352.0","376,871.0","395,507.0","330,000.0","300,900.0","3,468,887.0","306","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2016-2016","LITER","317,727.0","273,962.0","313,720.0","307,527.0","436,932.0","255,590.0","103,627.0","589,448.0","503,815.0","328,379.0","201,305.0","461,357.0","4,093,389.0","-59","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2017-2017","LITER","379,250.0","406,718.0","447,878.0","389,037.0","339,126.0","313,825.0","331,091.0","814,894.0","113,204.0","394,405.0","360,713.0","266,336.0","4,556,477.0","6","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2018-2018","LITER","470,990.0","522,689.0","413,609.0","549,431.0","499,974.0","340,179.0","480,227.0","592,837.0","555,730.0","482,395.0","277,205.0","581,816.0","5,767,082.0","41","US","R00","0401502500",
"1","World Total","1","0401502500","MC,NCS,10-45%,OT","2019-2019","LITER","746,771.0","326,265.0","436,873.0","382,530.0","623,482.0","654,778.0","947,237.0","","","","","","4,117,936.0","45","US","R00","0401502500",
"1","World Total","2","0401202000","MC,N CN/S,1-6 NQ","1999-1999","LITER","1,087,447.0","702,305.0","928,855.0","430,445.0","883,545.0","566,375.0","424,570.0","289,000.0","718,885.0","407,800.0","222,785.0","453,100.0","7,115,112.0","-25","US","R00","0401202000",
"1","World Total","2","0401202000","MC,N CN/S,1-6 NQ","2000-2000","LITER","297,797.0","339,825.0","440,586.0","385,135.0","71,858.0","475,761.0","362,836.0","0.0","203,729.0","177,656.0","428,232.0","364,510.0","3,547,925.0","-24","US","R00","0401202000",
"1","World Total","2","0401202000","MC,N CN/S,1-6 NQ","2001-2001","LITER","229,308.0","282,579.0","587,872.0","302,848.0","120,769.0","418,278.0","196,360.0","232,529.0","32,193.0","335,056.0","254,341.0","249,185.0","3,241,318.0","-53","US","R00","0401202000",
"1","World Total","2","0401202000","MC,N CN/S,1-6 NQ","2002-2002","LITER","245,724.0","330,252.0","236,933.0","229,648.0","62,716.0","74,300.0","657,904.0","1,147,695.0","1,156,523.0","848,428.0","1,103,299.0","1,079,125.0","7,172,547.0","785","US","R00","0401202000",
"1","World Total","2","0401202000","MC,N CN/S,1-6 NQ","2003-2003","LITER","927,472.0","1,152,732.0","1,300,771.0","1,152,040.0","232,782.0","19,070.0","49,452.0","71,115.0","70,566.0","87,223.0","65,354.0","81,876.0","5,210,453.0","159","US","R00","0401202000",
